discovery_id,target,horizon,level,condition,feature_names,families,atom_ids,discovery_n,validation_n,holdout_n,discovery_baseline,validation_baseline,holdout_baseline,discovery_win_rate,validation_win_rate,holdout_win_rate,discovery_lift_pp,validation_lift_pp,holdout_lift_pp,discovery_q,discovery_ci_low,discovery_ci_high,holdout_ci_low,holdout_ci_high,discovery_payoff_ratio,validation_payoff_ratio,holdout_payoff_ratio,discovery_expectancy,validation_expectancy,holdout_expectancy,discovery_mfe_mean_atr,validation_mfe_mean_atr,holdout_mfe_mean_atr,discovery_mae_mean_atr,validation_mae_mean_atr,holdout_mae_mean_atr,temporal_consistency,parameter_stability,regime_consistency,oos_degradation_pp,oos_retention,verdict,score
02ba3107e90b8f,continuation_1,1,L2,regime_ranging == True AND prior_range_atr_5 >= 3.01099005,regime_ranging|prior_range_atr_5,regime|structure,f7cd1d470a81|72fefaf271b8,68,9,13,,0.500868,0.495222,0.5,0.222222,0.615385,-0.593343,-27.8646,12.0163,,0.384381,0.615619,0.355229,0.822903,1.48813,0.138932,1.56723,0.000170829,-0.000918076,0.000534353,1.64746e-05,4.81378e-06,1.74223e-05,1.30116e-05,1.36162e-05,1.51835e-05,1,NA,0,-12.6096,20.2519,WEAK,43.3254
7bc0c8c639c2f0,continuation_1,1,L2,rv_20 <= 0.0010267951 AND body_atr <= 0.0611627302,rv_20|body_atr,volatility|geometry,eba070161cb0|516804a84096,84,23,26,,0.500868,0.495222,0.392857,0.608696,0.576923,-11.3076,10.7828,8.17015,,0.295303,0.499782,0.389486,0.744556,1.37109,1.09803,0.481307,-6.10904e-05,0.00024428,-0.000160834,4.73194e-05,4.94394e-05,1.63122e-05,4.21937e-05,4.48736e-05,2.44125e-05,0.5,NA,0,-19.4778,0.722535,WEAK,30.1006
85df2202a7c2c6,continuation_1,1,L2,rv_20 <= 0.0010267951 AND atr_ratio_14_50 <= 0.844642608,rv_20|atr_ratio_14_50,volatility|volatility,eba070161cb0|13f1ce168d81,139,41,52,,0.500868,0.495222,0.388489,0.609756,0.538462,-11.7444,10.8888,4.324,,0.311501,0.471475,0.405036,0.666595,1.20069,0.836628,1.32082,-0.000136758,0.000121844,0.000192893,1.38454e-05,1.55866e-05,1.43696e-05,1.55719e-05,1.34802e-05,1.13431e-05,0.5,NA,0,-16.0684,0.368175,WEAK,11.48
2a97ffe1fb6c7d,continuation_1,1,L2,rv_20 <= 0.0010267951 AND regime_ranging == True,rv_20|regime_ranging,volatility|regime,eba070161cb0|f7cd1d470a81,109,29,38,,0.500868,0.495222,0.394495,0.482759,0.526316,-11.1438,-1.81094,3.10942,,0.307839,0.488335,0.37259,0.67521,1.02974,1.04111,0.973877,-0.000198228,-1.28459e-05,3.28184e-05,1.86961e-05,1.55002e-05,1.27389e-05,2.37595e-05,2.09991e-05,1.23763e-05,0.5,NA,0,-14.2532,0.279027,WEAK,5.34833
527648acc2e190,continuation_1,1,L2,rv_20 <= 0.0010267951 AND efficiency_20 <= 0.0316086745,rv_20|efficiency_20,volatility|sequence,eba070161cb0|acddbe40770f,70,11,12,,0.500868,0.495222,0.414286,0.636364,0.5,-9.16477,13.5496,0.477845,,0.306302,0.531188,0.253782,0.746218,1.22221,0.690673,0.471845,-8.01533e-05,9.80114e-05,-0.000338773,1.23165e-05,4.36808e-05,2.06094e-05,1.43703e-05,3.30807e-05,1.81962e-05,1,NA,0,-9.64262,0.0521394,WEAK,0.0863065
63c46a310b4947,continuation_1,1,L2,failed_breakout_low_50 == True AND failed_breakout_low_100 == True,failed_breakout_low_50|failed_breakout_low_100,structure|structure,4e3aab554c89|b65ab564e05f,133,48,31,,0.500868,0.495222,0.406015,0.416667,0.419355,-9.99184,-8.42014,-7.58667,,0.32633,0.490976,0.264155,0.592337,1.00296,0.923895,1.50106,-0.000170776,-0.000193841,3.31622e-05,8.54568e-06,6.81281e-06,9.21449e-06,8.69908e-06,8.68036e-06,9.08922e-06,1,NA,0,-2.40517,0.759287,REJECT,-32.0729
9ee7579fa76eb0,continuation_1,1,L2,failed_breakout_high_50 == True AND failed_breakout_high_100 == True,failed_breakout_high_50|failed_breakout_high_100,structure|structure,afca67a959d7|7ea108889431,98,28,46,,0.500868,0.495222,0.561224,0.357143,0.391304,5.52911,-14.3725,-10.3917,,0.46251,0.65532,0.263932,0.535432,1.03212,1.40003,0.901689,0.000123753,-0.00012622,-0.000255098,9.62246e-06,8.34653e-06,7.5764e-06,9.60086e-06,7.41942e-06,8.8743e-06,0.5,NA,0,15.9208,1.87946,REJECT,-70.4801
2e9c67fc5ecc93,reversal_1,1,L2,failed_breakout_high_50 == True AND failed_breakout_high_100 == True,failed_breakout_high_50|failed_breakout_high_100,structure|structure,afca67a959d7|7ea108889431,98,28,46,,0.499132,0.504778,0.438776,0.642857,0.608696,-5.52911,14.3725,10.3917,,0.34468,0.53749,0.464568,0.736068,0.96888,0.714273,1.10903,-0.000123753,0.00012622,0.000255098,9.60086e-06,7.41942e-06,8.8743e-06,9.62246e-06,8.34653e-06,7.5764e-06,0.5,NA,0,-15.9208,1.87946,WEAK,70.4801
85f8fc2b87919b,reversal_1,1,L2,failed_breakout_low_50 == True AND failed_breakout_low_100 == True,failed_breakout_low_50|failed_breakout_low_100,structure|structure,4e3aab554c89|b65ab564e05f,133,48,31,,0.499132,0.504778,0.593985,0.583333,0.580645,9.99184,8.42014,7.58667,,0.509024,0.67367,0.407663,0.735845,0.997052,1.08237,0.666197,0.000170776,0.000193841,-3.31622e-05,8.69908e-06,8.68036e-06,9.08922e-06,8.54568e-06,6.81281e-06,9.21449e-06,1,NA,0,2.40517,0.759287,PROMISING,32.0729
bc4ad2742361b0,reversal_1,1,L2,rv_20 <= 0.0010267951 AND efficiency_20 <= 0.0316086745,rv_20|efficiency_20,volatility|sequence,eba070161cb0|acddbe40770f,70,11,12,,0.499132,0.504778,0.585714,0.363636,0.5,9.16477,-13.5496,-0.477845,,0.468812,0.693698,0.253782,0.746218,0.818191,1.44786,2.11934,8.01533e-05,-9.80114e-05,0.000338773,1.43703e-05,3.30807e-05,1.81962e-05,1.23165e-05,4.36808e-05,2.06094e-05,1,NA,0,9.64262,0.0521394,REJECT,-0.0863065
8734322bab342a,reversal_1,1,L2,rv_20 <= 0.0010267951 AND regime_ranging == True,rv_20|regime_ranging,volatility|regime,eba070161cb0|f7cd1d470a81,109,29,38,,0.499132,0.504778,0.605505,0.517241,0.473684,11.1438,1.81094,-3.10942,,0.511665,0.692161,0.32479,0.62741,0.971114,0.96051,1.02682,0.000198228,1.28459e-05,-3.28184e-05,2.37595e-05,2.09991e-05,1.23763e-05,1.86961e-05,1.55002e-05,1.27389e-05,0.5,NA,0,14.2532,0.279027,REJECT,-5.34833
e27454be3cdaf8,reversal_1,1,L2,rv_20 <= 0.0010267951 AND atr_ratio_14_50 <= 0.844642608,rv_20|atr_ratio_14_50,volatility|volatility,eba070161cb0|13f1ce168d81,139,41,52,,0.499132,0.504778,0.611511,0.390244,0.461538,11.7444,-10.8888,-4.324,,0.528525,0.688499,0.333405,0.594964,0.832857,1.19527,0.757107,0.000136758,-0.000121844,-0.000192893,1.55719e-05,1.34802e-05,1.13431e-05,1.38454e-05,1.55866e-05,1.43696e-05,0.5,NA,0,16.0684,0.368175,REJECT,-11.48
224fadfff8ef30,reversal_1,1,R3,doji == True AND inside_bar == True,doji|inside_bar,冒烟,R3-T1,104,29,29,,0.499132,0.504778,0.625,0.413793,0.448276,13.0933,-8.53388,-5.65026,,0.529067,0.712027,0.284132,0.62452,0.899928,0.859563,1.13063,0.000182691,-0.000221134,-4.33683e-05,2.73304e-05,2.1105e-05,2.26028e-05,2.54787e-05,3.02415e-05,2.34137e-05,0.5,NA,0,18.7436,0.431537,REJECT,-13.1306
99b044c2ded590,reversal_1,1,L2,rv_20 <= 0.0010267951 AND body_atr <= 0.0611627302,rv_20|body_atr,volatility|geometry,eba070161cb0|516804a84096,84,23,26,,0.499132,0.504778,0.607143,0.391304,0.423077,11.3076,-10.7828,-8.17015,,0.500218,0.704697,0.255444,0.610514,0.729348,0.910721,2.07768,6.10904e-05,-0.00024428,0.000160834,4.21937e-05,4.48736e-05,2.44125e-05,4.73194e-05,4.94394e-05,1.63122e-05,0.5,NA,0,19.4778,0.722535,REJECT,-30.1006
c4bcead125eee6,reversal_1,1,L2,regime_ranging == True AND prior_range_atr_5 >= 3.01099005,regime_ranging|prior_range_atr_5,regime|structure,f7cd1d470a81|72fefaf271b8,68,9,13,,0.499132,0.504778,0.5,0.777778,0.384615,0.593343,27.8646,-12.0163,,0.384381,0.615619,0.177097,0.644771,0.671983,7.19774,0.638069,-0.000170829,0.000918076,-0.000534353,1.30116e-05,1.36162e-05,1.51835e-05,1.64746e-05,4.81378e-06,1.74223e-05,1,NA,0,12.6096,20.2519,REJECT,-43.3254
