feature,family,dtype
body_ratio,geometry,float64
upper_wick_ratio,geometry,float64
lower_wick_ratio,geometry,float64
close_loc,geometry,float64
open_loc,geometry,float64
body_atr,geometry,float64
range_atr,geometry,float64
upper_wick_atr,geometry,float64
lower_wick_atr,geometry,float64
gap_atr,geometry,float64
doji,geometry,bool
hammer_geometry,geometry,bool
shooting_star_geometry,geometry,bool
inside_bar,geometry,bool
outside_bar,geometry,bool
bullish_engulfing,other,bool
bearish_engulfing,other,bool
marubozu_bull,geometry,bool
marubozu_bear,geometry,bool
tweezer_top,geometry,bool
tweezer_bottom,geometry,bool
streak_signed,sequence,int64
streak_abs,sequence,int64
ret_2,sequence,float64
absret_2,sequence,float64
up_frac_2,sequence,float64
down_frac_2,sequence,float64
efficiency_2,sequence,float64
ret_3,sequence,float64
absret_3,sequence,float64
up_frac_3,sequence,float64
down_frac_3,sequence,float64
efficiency_3,sequence,float64
ret_5,sequence,float64
absret_5,sequence,float64
up_frac_5,sequence,float64
down_frac_5,sequence,float64
efficiency_5,sequence,float64
ret_8,sequence,float64
absret_8,sequence,float64
up_frac_8,sequence,float64
down_frac_8,sequence,float64
efficiency_8,sequence,float64
ret_13,sequence,float64
absret_13,sequence,float64
up_frac_13,sequence,float64
down_frac_13,sequence,float64
efficiency_13,sequence,float64
ret_20,sequence,float64
absret_20,sequence,float64
up_frac_20,sequence,float64
down_frac_20,sequence,float64
efficiency_20,sequence,float64
ret_21,sequence,float64
absret_21,sequence,float64
up_frac_21,sequence,float64
down_frac_21,sequence,float64
efficiency_21,sequence,float64
hh_count_3,sequence,float64
hl_count_3,sequence,float64
lh_count_3,sequence,float64
ll_count_3,sequence,float64
hh_count_5,sequence,float64
hl_count_5,sequence,float64
lh_count_5,sequence,float64
ll_count_5,sequence,float64
hh_count_10,sequence,float64
hl_count_10,sequence,float64
lh_count_10,sequence,float64
ll_count_10,sequence,float64
hh_count_20,sequence,float64
hl_count_20,sequence,float64
lh_count_20,sequence,float64
ll_count_20,sequence,float64
streak_accel,sequence,float64
momentum_z_8,sequence,float64
pullback_pct_20,sequence,float64
ret_to_path_20,sequence,float64
breakout_high_5,structure,bool
breakout_low_5,structure,bool
failed_breakout_high_5,structure,bool
failed_breakout_low_5,structure,bool
breakout_high_depth_atr_5,structure,float64
breakout_low_depth_atr_5,structure,float64
dist_prior_high_atr_5,structure,float64
dist_prior_low_atr_5,structure,float64
prior_range_atr_5,structure,float64
range_pos_prior_5,structure,float64
breakout_high_10,structure,bool
breakout_low_10,structure,bool
failed_breakout_high_10,structure,bool
failed_breakout_low_10,structure,bool
breakout_high_depth_atr_10,structure,float64
breakout_low_depth_atr_10,structure,float64
dist_prior_high_atr_10,structure,float64
dist_prior_low_atr_10,structure,float64
prior_range_atr_10,structure,float64
range_pos_prior_10,structure,float64
breakout_high_20,structure,bool
breakout_low_20,structure,bool
failed_breakout_high_20,structure,bool
failed_breakout_low_20,structure,bool
breakout_high_depth_atr_20,structure,float64
breakout_low_depth_atr_20,structure,float64
dist_prior_high_atr_20,structure,float64
dist_prior_low_atr_20,structure,float64
prior_range_atr_20,structure,float64
range_pos_prior_20,structure,float64
breakout_high_50,structure,bool
breakout_low_50,structure,bool
failed_breakout_high_50,structure,bool
failed_breakout_low_50,structure,bool
breakout_high_depth_atr_50,structure,float64
breakout_low_depth_atr_50,structure,float64
dist_prior_high_atr_50,structure,float64
dist_prior_low_atr_50,structure,float64
prior_range_atr_50,structure,float64
range_pos_prior_50,structure,float64
breakout_high_100,structure,bool
breakout_low_100,structure,bool
failed_breakout_high_100,structure,bool
failed_breakout_low_100,structure,bool
breakout_high_depth_atr_100,structure,float64
breakout_low_depth_atr_100,structure,float64
dist_prior_high_atr_100,structure,float64
dist_prior_low_atr_100,structure,float64
prior_range_atr_100,structure,float64
range_pos_prior_100,structure,float64
break_4h_hi,structure,bool
break_4h_lo,structure,bool
sweep_hi_fail,structure,bool
sweep_lo_fail,structure,bool
new_24h_hi,structure,bool
new_24h_lo,structure,bool
bars_above_ph20,other,float64
bars_below_pl20,other,float64
reject_up_depth_atr_20,other,float64
reject_down_depth_atr_20,other,float64
bars_above_ph50,other,float64
bars_below_pl50,other,float64
reject_up_depth_atr_50,other,float64
reject_down_depth_atr_50,other,float64
rv_5,volatility,float64
rv_10,volatility,float64
rv_20,volatility,float64
rv_50,volatility,float64
atr_ratio_14_50,volatility,float64
atr_pct_100,volatility,float64
atr_pct_200,volatility,float64
tr_pct_100,volatility,float64
range_pct_100,volatility,float64
volatility_ratio_5_20,volatility,float64
volatility_ratio_10_50,volatility,float64
compression_5_20,volatility,float64
compression_10_50,volatility,float64
